authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,moderationStatus,text
Bhad Everly,https://yt3.ggpht.com/-KdQyXOIgdNw/AAAAAAAAAAI/AAAAAAAAAAA/Fk0I5jp0RyQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC710mbJs1G4eNHBfsTDrHSQ,UC710mbJs1G4eNHBfsTDrHSQ,o_nfdzMhmrA,👵👵👵,👵👵👵,TRUE,none,0,2017-12-31T08:58:41.000Z,2017-12-31T08:58:41.000Z,NA,👵👵👵
Asher Grisanti,https://yt3.ggpht.com/-dZ09WE_QLic/AAAAAAAAAAI/AAAAAAAAAAA/B-iJJ_9F0xY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCsH8Dcxx4GngbnulI1VycOg,UCsH8Dcxx4GngbnulI1VycOg,o_nfdzMhmrA,My brother gave this movie its highest review “ok”,My brother gave this movie its highest review “ok”,TRUE,none,0,2017-12-30T00:44:28.000Z,2017-12-30T00:44:28.000Z,NA,My brother gave this movie its highest review “ok”
mrrickstur,https://yt3.ggpht.com/-bngFC0L6P-Y/AAAAAAAAAAI/AAAAAAAAAAA/slcJDCTQlUU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCa9ULYiB5tQi9c7kU-WjTVg,UCa9ULYiB5tQi9c7kU-WjTVg,o_nfdzMhmrA,the greatest movie of all time,the greatest movie of all time,TRUE,none,0,2017-12-29T23:58:21.000Z,2017-12-29T23:58:21.000Z,NA,the greatest movie of all time
lux da duck,https://yt3.ggpht.com/-uyS9r-6NxE8/AAAAAAAAAAI/AAAAAAAAAAA/NdPVbYn3GSA/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCnZpfpucck0woUQf2ELwVTg,UCnZpfpucck0woUQf2ELwVTg,o_nfdzMhmrA,What song is playing,What song is playing,TRUE,none,0,2017-12-29T23:27:20.000Z,2017-12-29T23:27:20.000Z,NA,What song is playing
Nayops From Chicago,https://yt3.ggpht.com/-4ItL4OUPt68/AAAAAAAAAAI/AAAAAAAAAAA/XhwWGmjSg_U/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCdILxJFEu6-3HocNWfvOU1A,UCdILxJFEu6-3HocNWfvOU1A,o_nfdzMhmrA,Wait why is the dislike button have more thumbs ups then the like button⁉️😅,Wait why is the dislike button have more thumbs ups then the like button⁉️😅,TRUE,none,0,2017-12-29T22:41:36.000Z,2017-12-29T22:41:36.000Z,NA,Wait why is the dislike button have more thumbs ups then the like button⁉️😅
Lucas Glendon,https://yt3.ggpht.com/-xDE6IXa0hE0/AAAAAAAAAAI/AAAAAAAAAAA/hini15LX88g/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCLvlpohuDDCUfjyKmnB-MZg,UCLvlpohuDDCUfjyKmnB-MZg,o_nfdzMhmrA,am I the only one that actually like this movie?,am I the only one that actually like this movie?,TRUE,none,0,2017-12-29T15:58:56.000Z,2017-12-29T15:58:56.000Z,NA,am I the only one that actually like this movie?
Travis Wolfe,https://yt3.ggpht.com/-KyAs-ltsuiI/AAAAAAAAAAI/AAAAAAAAAAA/G9_oA0E-C8Y/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCgBdpuwO0XT_5SubOBBYjhA,UCgBdpuwO0XT_5SubOBBYjhA,o_nfdzMhmrA,This video has way more dislikes than likes..,This video has way more dislikes than likes..,TRUE,none,0,2017-12-29T05:27:11.000Z,2017-12-29T05:27:11.000Z,NA,This video has way more dislikes than likes..
PotatoLegend721,https://yt3.ggpht.com/-JYR17-QEdFw/AAAAAAAAAAI/AAAAAAAAAAA/BfVudmiLFcI/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCMycb1zLF3qNyo0hoi2ZFvg,UCMycb1zLF3qNyo0hoi2ZFvg,o_nfdzMhmrA,Yeah this is an Animoji movie,Yeah this is an Animoji movie,TRUE,none,0,2017-12-29T04:46:46.000Z,2017-12-29T04:46:46.000Z,NA,Yeah this is an Animoji movie
Rover Plush 2.0,https://yt3.ggpht.com/-_3cY-PH2AmE/AAAAAAAAAAI/AAAAAAAAAAA/xUE7BXpy0t0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCp3J49EnzbZ9MNEu1t5AwSw,UCp3J49EnzbZ9MNEu1t5AwSw,o_nfdzMhmrA,I&#39;m I the only one who thought this was giood?,I'm I the only one who thought this was giood?,TRUE,none,0,2017-12-28T21:06:52.000Z,2017-12-28T21:06:52.000Z,NA,I'm I the only one who thought this was giood?
carlos castillo,https://yt3.ggpht.com/-9t83DX61yZ4/AAAAAAAAAAI/AAAAAAAAAAA/SqFFpBvPDQA/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCMY7OpaUukqBnbclA5NchMQ,UCMY7OpaUukqBnbclA5NchMQ,o_nfdzMhmrA,Dat like to dislike ratio though,Dat like to dislike ratio though,TRUE,none,0,2017-12-28T19:55:13.000Z,2017-12-28T19:55:13.000Z,NA,Dat like to dislike ratio though
